Item,Use,Price (Inc. Delivery,Store,Link
Screws and Standoffs,Hold the Macropad Together,£10.99,Amazon,https://www.amazon.co.uk/Litorange-320PCS-Standoff-Assorted-Assortment/dp/B07TKV61PC/ref=sr_1_1_sspa?crid=31E6U0R6RQ1MH&dib=eyJ2IjoiMSJ9.hL5POR8vUVXTq0vWXEmQR5lH06aGLSfiPzbb1Rpsc7sZMjNrxiq8dJT0BQwm_5TLxVuKBFyOZIwkQLJ8MtBmIEgZnverq9hAnN3G2T39clWZYf7X5BWA2tfCppnRHgLRpUufjGagrx3-av5F6CpCZZ10vEdWA69qSODy6r9O4vDSDSyBfu3vUGXse5T0c6FALcpOvloUNEPer7kmvWh6Pq3YnV4WO53y7Oge1o3IJaOe8dPcMM9KxQJhgKq3Als2nTVDapLyCZLwUUWcoSOVFs9NRN5iXjuAp48xbf7A4lA.FArGpLCFdwuxk7sr7VI_dhFxn7PKnsKQvo-zuap6J_U&dib_tag=se&keywords=m2%2Bscrew%2Band%2Bstandoffs&qid=1768675309&s=industrial&sprefix=m2%2Bscrew%2Band%2Bstandoff%2Cindustrial%2C88&sr=1-1-spons&aref=YsIc2VByBB&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Adafruit FeatherRP2040 ,Controls the Macropad,£15.00,PiHut,https://thepihut.com/products/adafruit-feather-rp2040?srsltid=AfmBOooJqWXY8Hio24uTjkg8_Icu1v4-6hacDAo8v6GRmp-vawrCQ2WD
EC11 15 mm,Because who doesnt love knobs,£1.00,AliExpress,https://www.aliexpress.com/item/1005003824684681.html?spm=a2g0o.order_detail.order_detail_item.3.5a63f19cAmlUaT
WS2812 WW,Aesthetic Warm White LED,£3.20,AliExpress,https://www.aliexpress.com/item/1005003954266292.html?spm=a2g0o.productlist.main.33.41a1b4d0t5iF7Q&algo_pvid=b7f06013-b8db-4d7b-b8e3-615948f9b5b1&algo_exp_id=b7f06013-b8db-4d7b-b8e3-615948f9b5b1-32&pdp_ext_f=%7B%22order%22%3A%2235%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.33%211.63%21%21%2121.11%2114.78%21%4021038e6617686769493227555edbe2%2112000027556622445%21sea%21UK%214847897812%21X%211%210%21n_tag%3A-29919%3Bd%3A37a70c97%3Bm03_new_user%3A-29895&curPageLogUid=mlcEgbYc3P9S&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003954266292%7C_p_origin_prod%3A
PCB - TOP LAYER,Top PCB,£5.30,JLCPCB,N/A
PCB - BOTTOM LAYER,Bottom PCB,£3.50,JLCPCB,N/A
Switches - Gateron Oil Kings,Switches,£18.39,AliExpress,https://www.aliexpress.com/item/1005007451082555.html?spm=a2g0o.productlist.main.28.67bd6ee319nERR&aem_p4p_detail=202601180424322234336903161440002530454&algo_pvid=e31e0e42-26c9-476b-922c-6746b5367d72&algo_exp_id=e31e0e42-26c9-476b-922c-6746b5367d72-27&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%2110.60%218.69%21%21%2195.84%2178.57%21%40211b430817687390724981238ee4a6%2112000040809424941%21sea%21UK%214847897812%21X%211%210%21n_tag%3A-29919%3Bd%3A37a70c97%3Bm03_new_user%3A-29895&curPageLogUid=Ma9WHSMsNTlC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007451082555%7C_p_origin_prod%3A&search_p4p_id=202601180424322234336903161440002530454_7
Keycaps,Keycaps,£3.69,AliExpress,https://www.aliexpress.com/item/1005007683242914.html?spm=a2g0o.productlist.main.17.7bff498eZd9HPq&algo_pvid=c8deed51-dc04-4a50-9ead-ad9e155af21c&algo_exp_id=c8deed51-dc04-4a50-9ead-ad9e155af21c-16&pdp_ext_f=%7B%22order%22%3A%22164%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%213.69%213.69%21%21%2133.36%2133.36%21%402103868817687386098011112ef607%2112000041809447184%21sea%21UK%214847897812%21X%211%210%21n_tag%3A-29919%3Bd%3A37a70c97%3Bm03_new_user%3A-29895&curPageLogUid=hbKO4JN97CrU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007683242914%7C_p_origin_prod%3A
Base,Structural purposes,0.62,JLC3DP,N/A
Knob Cover x 3,Cosmetic ,£3.60,JLC3DP,N/A
,,£65.29,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
